detection_idx,p_value,drift,buffer_end_idx,drift_type,drift_category
365,0.0304,1,999,gradual,PCD
1080,0.0,1,1999,sudden,TCD
1437,0.0,1,1999,sudden,TCD
2061,0.0,1,2999,sudden,TCD
2719,0.0,1,2999,sudden,TCD
3642,0.02,1,3999,gradual,PCD
3792,0.0,1,3999,blip,PCD
4212,0.048,1,4999,blip,PCD
6257,0.0196,1,6999,recurrent,PCD
9449,0.0172,1,9999,blip,PCD
9831,0.0244,1,9999,gradual,PCD
10372,0.0064,1,10999,gradual,PCD
10735,0.006,1,10999,blip,PCD
15246,0.006,1,15999,sudden,TCD
15727,0.0372,1,15999,blip,PCD
16169,0.0,1,16999,sudden,TCD
16275,0.0,1,16999,recurrent,PCD
16883,0.0156,1,16999,blip,TCD
17130,0.0312,1,17999,blip,PCD
17839,0.04,1,17999,blip,PCD
18659,0.0216,1,18999,blip,PCD
19323,0.012,1,19999,recurrent,PCD
20320,0.0,1,20999,sudden,TCD
